CustomerID,Recency,Frequency,Sales,RecencyCluster,FrequencyCluster,SalesCluster,TotalScore,Churn
692,2,24,7645.129999999999,1,0,0,1,1
693,1,157,9054.72,1,0,0,1,1
694,13,150,4244.32,1,0,0,1,1
695,121,10,1177.01,1,0,0,1,1
696,425,9,701.32,1,0,0,1,1
697,63,5,410.69,1,0,0,1,1
698,43,24,1032.0800000000002,1,0,0,1,1
699,12,99,14306.02,1,0,0,1,1
702,40,92,8365.54,1,0,0,1,1
703,139,13,197.43,1,0,0,1,1
704,456,10,62.13999999999999,1,0,0,1,1
705,27,7,758.9100000000001,1,0,0,1,1
706,150,26,1246.8200000000002,1,0,0,1,1
708,79,22,2649.4,1,0,0,1,1
709,5,141,14411.039999999999,1,0,0,1,1
710,247,7,3241.7,1,0,0,1,1
713,85,21,404.12,1,0,0,1,1
714,246,23,1269.68,1,0,0,1,1
716,13,209,8591.77,1,0,0,1,1
717,7,30,574.2399999999999,1,0,0,1,1
718,464,78,2436.78,1,0,0,1,1
719,13,28,450.99,1,0,0,1,1
721,1,152,4241.94,1,0,0,1,1
723,194,16,661.56,1,0,0,1,1
724,7,24,793.5000000000001,1,0,0,1,1
725,562,21,8578.95,1,0,0,1,1
730,2,524,97078.34,1,0,0,1,1
733,133,8,604.84,1,0,0,1,1
734,398,13,794.0999999999999,1,0,0,1,1
736,49,33,2283.24,1,0,0,1,1
737,36,22,692.04,1,0,0,1,1
739,15,21,7039.789999999999,1,0,0,1,1
740,1,58,8504.96,1,0,0,1,1
741,470,5,1235.0,1,0,0,1,1
744,23,31,2511.76,1,0,0,1,1
746,12,24,5602.39,1,0,0,1,1
749,1,1939,196586.16000000015,1,0,0,1,1
753,553,4,351.53,1,0,0,1,1
754,163,18,565.3199999999999,1,0,0,1,1
755,1,48,75105.47,1,0,0,1,1
757,152,13,1167.69,1,0,0,1,1
758,272,8,300.01,1,0,0,1,1
759,315,8,582.7700000000001,1,0,0,1,1
760,19,18,826.9300000000001,1,0,0,1,1
761,91,9,142.94,1,0,0,1,1
762,5,194,22548.549999999996,1,0,0,1,1
763,1,359,36198.65,1,0,0,1,1
764,425,6,5921.0,1,0,0,1,1
766,21,10,1057.46,1,0,0,1,1
772,344,45,604.1200000000001,1,0,0,1,1
773,9,8,35.459999999999994,1,0,0,1,1
774,112,22,815.6100000000001,1,0,0,1,1
776,43,13,1072.8,1,0,0,1,1
778,342,11,8053.759999999998,1,0,0,1,1
779,128,3,1031.31,1,0,0,1,1
780,36,19,909.4799999999998,1,0,0,1,1
781,150,9,936.4999999999998,1,0,0,1,1
785,405,30,2968.38,1,0,0,1,1
791,4,24,9158.310000000001,1,0,0,1,1
792,55,29,8014.8099999999995,1,0,0,1,1
794,280,18,594.18,1,0,0,1,1
